X,Y,OBJECTID,CT_NO,NAME,ADDRESS,CITY,ZIPCODE,POSTMILE_P,POSTMILE,POSTMILE_S,LATITUDE,LONGITUDE,DISTRICT,CO_CODE,COUNTY,ROUTE,REST_AREA,LOCATION,TRAFFICDIR,RESTROOM,WATER,PICNICTAB,PHONE,HANDICAP,RV_STATION,VENDING,PET_AREA
-13775541.4138,5156261.1874,1,90100018,Collier Tunnel Safety Roadside Rest Area - Nb & Sb,19 Mi N Of Gasquet And 3 Mi S Of Oregon State Line.,Gasquet,95543, ,33.3, ,41.968489,-123.74778,1,DN,Del Norte,199,Collier Tunnel,3 mi. S. of Oregon State Line,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13758503.2596,4840798.0553,2,90100029,Empire Camp Safety Roadside Rest Area - Nb,13.5 Miles North Of Laytonville.,Laytonville,95454, ,82.5, ,39.826746,-123.594724,1,MEN,Mendocino,101,Empire Camp,2.5 mi. S. of Cummings,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13741798.7621,4805712.1687,3,90100054,Irvine Lodge Safety Roadside Rest Area - Nb,3 Miles North Of Sr 162 Jct.,Laytonville,95454, ,61.82, ,39.584265,-123.444665,1,MEN,Mendocino,101,Irvine Lodge,7.9 mi. S. of Laytonville,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13739643.1707,4800814.6275,4,90100071,Moss Cove Safety Roadside Rest Area - Sb, 0.5 Miles South Of Sr 162 Jct.,Laytonville,95454, ,58.9, ,39.55035,-123.425301,1,MEN,Mendocino,101,Moss Cove,10.5 mi. S. of Laytonville,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13753206.4717,4995065.0368,5,90100085,Francis B. Mathews Safety Roadside Rest Area - Eb & Wb,2.5 Mi E Of Salyer And 7.5 Mi W Of Burnt Ranch.,Lewiston,96052, ,3.6, ,40.882761,-123.547142,2,TRI,Trinity,299,Francis B.Mathews,3 mi. E. of Salyer,E & W,Yes,Yes,Yes,No,Yes,Yes,No,Yes
-13820332.8064,5030617.2595,6,90100095,Trinidad Safety Roadside Rest Area - Nb,4.5 Miles North Of Exit 728.,Trinidad,95570, ,105.14, ,41.123781,-124.150148,1,HUM,Humboldt,101,Trinidad,0.9 mi. S. Patricks Pt. U.C.,N,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
-13820393.8088,5025857.9177,7,90100096,Trinidad Safety Roadside Rest Area - Sb,0.5 Miles South Of Exit 731.,Trinidad,95570, ,102.9, ,41.091567,-124.150696,1,HUM,Humboldt,101,Trinidad,3.1 mi. S. of Patricks Pt. U.C.,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13603114.8103,4858091.8774,8,90200041,Lt. John C. Helmick Safety Roadside Rest Area - Nb,"2 Mi N Of Exit 631, Near Corning.
",Corning,96021, ,10.5, ,39.945951,-122.198846,2,TEH,Tehama,5,LT John C. Helmick,1.3 mi. N. of Corning Road,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13599584.2285,5107607.927,9,90200072,Grass Lake Safety Roadside Rest Area - Nb & Sb,20 Miles North Of I-80 & 18 Miles South Of Macdoel.,Weed,96094, ,21.8, ,41.642701,-122.16713,2,SIS,Siskiyou,97,Grass Lake,19.8 mi. N. of Weed,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13610002.7096,4902564.4788,10,90200086,Herbert S. Miles Safety Roadside Rest Area - Nb,"3 Miles North Of Exit 653, Near Red Bluff.",Red Bluff,96080, ,33.2, ,40.251545,-122.260721,2,TEH,Tehama,5,Herbert S. Miles,4.4 mi. N. of Red Bluff,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13569442.5661,4992332.5525,11,90200088,Hillcrest Safety Roadside Rest Area - Eb & Wb,3 Miles East Of Montgomery Creek & 14 Miles West Of Burney,Montgomery Creek,96055, ,60.6, ,40.8642,-121.896363,2,SHA,Shasta,299,Hillcrest,3.9 mi. E. of Montgomery Creek,E & W,Yes,Yes,Yes,No,Yes,No,No,Yes
-13410122.1874,4903251.9436,12,90200091,Honey Lake Safety Roadside Rest Area - Nb & Sb,7.7 Miles North Of Milford &  6 Miles South Of Janesville.,Janesville,96114, ,49.6, ,40.256258,-120.465164,2,LAS,Lassen,395,Honey Lake,7.7 mi. N. of Milford,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13404360.7284,4840344.119,13,90200104,L.T. Davis Safety Roadside Rest Area - Eb & Wb,3 Miles East Of Portola & 2.5 Miles West Of Beckworth.,Loyalton,96114, ,79.2, ,39.823614,-120.413408,2,PLU,Plumas,70,L.T.Davis,3 mi. E. of Portola,E & W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13487752.0719,4910019.8209,14,90200106,Lake Almanor Safety Roadside Rest Area - Eb & Wb,4.3 Miles East Of Chester & 8.7 Miles West Of Westwood.,Chester, , ,12.8, ,40.30264,-121.162525,2,PLU,Plumas,36,Lake Almanor,4.3 mi. E. of Chester,E & W,Yes,Yes,Yes,No,Yes,No,No,Yes
-13625267.4078,5000174.8206,15,90200107,Lakehead Safety Roadside Rest Area - Sb,2 Miles South Of Exit 707.,Shasta Lake,96001, ,43.2, ,40.917456,-122.397846,2,SHA,Shasta,5,Lakehead,0.9 mi. N. of Lakehead O.C.,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-13451181.4925,4854802.877,16,90200116,Massack Safety Roadside Rest Area - Eb & Wb,6.5 Miles East Of Quincy & 7.5 Miles West Of Sloat.,Quincy,95971, ,49.8, ,39.923296,-120.834006,2,PLU,Plumas,70,Massack,6.5 mi. E. of Quincy,E & W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13686015.572,4963256.9461,17,90200122,Moon Lim Lee Safety Roadside Rest Area - Eb & W B,"2 Miles East Of Junction City & 5 Miles West Of Weaverville,",Weaverville,96093, ,56.8, ,40.666377,-122.943556,2,TRI,Trinity,299,Moon Lim Lee,5 mi. E. of Weaverville,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13644673.197,5138892.4546,18,90200144,Randolph E. Collier Safety Roadside Rest Area - Nb & Sb,Exit 786 (Sr I-5).,Hornbrook,96044, ,58.4, ,41.852376,-122.572171,2,SIS,Siskiyou,5,Randolph E. Collier,2.5 mi. N. of Rte. 96,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13387364.4784,4960375.3416,19,90200154,Secret Valley Safety Roadside Rest Area - Nb & Sb,23.5 Miles North Of Litchfield & 12 Miles South Of Ravendale.,Ravendale, , ,96.5, ,40.646739,-120.260728,2,LAS,Lassen,395,Secret Valley,12 mi. S. of Ravendale,N & S,Yes,Yes,Yes,No,Yes,No,No,Yes
-13562340.821,4939768.9899,20,90200160,Shingletown Safety Roadside Rest Area - Eb & Wb,3 Miles East Of Shingletown & 8 Miles West Of Viola.,Shingletown, , ,34.9, ,40.506141,-121.832567,2,SHA,Shasta,44,Shingletown,3.1 mi. E. of Shingletown,E & W,Yes,Yes,Yes,No,Yes,No,No,Yes
-13631603.3896,5083027.1994,21,90200199,Weed Airport Safety Roadside Rest Area - Nb,"At Exit 753, 6.0 Mi N Of Weed.",Weed,96094, ,25.8, ,41.477476,-122.454763,2,SIS,Siskiyou,5,Weed Airport,6 mi. N. of Weed,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13396170.3882,4770614.4338,22,90300040,Donner Summit Safety Roadside Rest Area - Eb,1 Mile East Of Exit 76 (Castle Peak).,Soda Springs,95728, ,5.52, ,39.34085,-120.339833,3,NEV,Nevada,80,Donner Summit,On Donner Pass,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13396221.1501,4770889.6457,23,90300041,Donner Summit Safety Roadside Rest Area - Wb,3 Miles West Of Donner Lake Exit.,Soda Springs,95728, ,5.84, ,39.342762,-120.340289,3,NEV,Nevada,80,Donner Summit,On Donner Pass,W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
